Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts POS Replicate 1	Raw Counts POS Replicate 2	Raw Counts POS Replicate 3	Normalized Counts POS Replicate 1	Normalized Counts POS Replicate 2	Normalized Counts POS Replicate 3	RPKM POS	Variance POS	Lowess POS	Expression POS	Raw Counts NEG Replicate 1	Raw Counts NEG Replicate 2	Normalized Counts NEG Replicate 1	Normalized Counts NEG Replicate 2	RPKM NEG	Variance NEG	Lowess NEG	Expression NEG	pValue POS vs NEG	qValue POS vs NEG
	7790	7170		-	alkB	CCNA_00009	alkylated DNA repair protein AlkB	5550	0	0	12704	0	0	1	1891958757	1932586750	6	0	0	0	0	0	0	244	0	1.0	1.0
	8165	10060		+	dnaK	CCNA_00010	chaperone protein DnaK	14483958	33736559	15600840	33153931	117193729	90760602	6108	2087674324036707840	6724847473386265600	42388	79730672	75343988	149313966	1234944894	16595	9223372036854775807	9223372030534427648	365047	0.8909128391428148	1.0
	10223	11380		+	dnaJ	CCNA_00011	chaperone protein DnaJ	218029	97337	34169	499070	338128	198784	54	2657725431874	21882114026401	298	141247	13185	264517	216112	27	76295784707	4863444050577	207	0.5630068027677672	1.0
	11467	14178		+	mutS	CCNA_00012	DNA mismatch repair protein MutS	54149	0	5699	123947	0	33154	4	344801456487	227186572896	19	15919	3099	29811	50794	1	10262335292	106674535595	14	0.5439244303790713	1.0
13417			13499	+	-	CCNA_R0096	small non-coding RNA	2039	0	0	4667	0	0	4	171058738	207139099	18	0	0	0	0	0	0	244	0	1.0	1.0
	14199	17021		+	glnD	CCNA_00013	protein-PII uridylyltransferase	350574	216791	334430	802467	753086	1945604	57	97692620511033	378583597721627	413	409010	33432	765965	547975	31	2824956576648	49821836989279	232	0.6133063473945081	1.0
	17494	17018		-	moaC	CCNA_00014	molybdenum cofactor biosynthesis protein C	3550	4849	0	8125	16844	0	3	2637622024	6239036276	17	0	0	0	0	0	0	244	0	1.0	1.0
	18042	17491		-	moaB	CCNA_00015	molybdenum cofactor biosynthesis protein B	15453	10075	5024	35372	34998	29227	10	308484673	71451968269	60	43097	0	80709	0	15	260241602481	106934920676	73	0.5361214071452945	1.0
	18495	18043		-	moaE	CCNA_00016	molybdopterin converting factor, large subunit	11592	10075	7375	26534	34998	42905	11	2463256093	79472090511	76	0	0	0	0	0	0	244	0	1.0	1.0
	18731	18492		-	moaD	CCNA_00017	molybdopterin converting factor, small subunit	5985	6679	17944	13699	23201	104392	23	188063198148	176202482904	196	150	0	280	0	0	325044	524217	0	0.0	0.0
	19784	18735		-	moaA	CCNA_00018	molybdenum cofactor biosynthesis protein A	57498	56791	48637	131613	197280	282954	28	515763961561	5535005679036	194	106712	9965	199842	163333	22	38772504562	2510422250663	172	0.5130266755982466	1.0
	19815	20447		+	-	CCNA_00019	molybdopterin-guanine dinucleotide biosynthesis protein A	0	0	0	0	0	0	0	0	356	0	5599	0	10485	0	1	1941459134	2161598718	8	1.0	1.0
	20668	20444		-	-	CCNA_00020	hypothetical protein	9885	141	5456	22626	489	31741	12	12432405613	22941127331	81	29761	3250	55734	53269	29	60134638	180977102800	242	0.6692721934316408	1.0
	20778	20665		-	-	CCNA_03911	hypothetical protein	21188	28	11244	48499	97	65413	51	74552274570	97911377723	333	28231	0	52869	0	50	94285874967	47412243708	231	0.56827990987167	1.0
	23032	20840		-	-	CCNA_00021	putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL	136531	58410	63322	312520	202904	368386	21	661518953875	13855565033974	134	186885	51649	349985	846566	22	20376999844276	40831277855296	272	0.6531737009331434	1.0
	23559	23029		-	-	CCNA_00022	putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS	74638	45321	71602	170847	157435	416557	65	2475354250959	8714547815127	467	92043	8948	172371	146664	38	16706572515	1858399824358	300	0.5751856497603527	1.0
	23742	24074		+	-	CCNA_00023	putative periplasmic protein	24229	22348	7998	55460	77632	46529	29	12326010553	301132490389	179	38543	50	72180	819	23	193673513271	87382038321	109	0.5854130916022079	1.0
	24091	24981		+	-	CCNA_00024	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase	13487	0	15900	30871	0	92501	5	164112822439	120387013159	46	0	2950	0	48352	0	76095446136	40424525989	27	0.5972327925476871	1.0
	26643	24991		-	-	CCNA_00025	major facilitator superfamily transporter	6202	1750	0	14196	6079	0	0	1763171075	4460559627	4	4800	0	8989	0	0	1341749137	1545962492	2	0.5748962112181755	1.0
	29403	26701		-	-	CCNA_00026	PAS-family sensor histidine kinase	17847	0	5000	40851	0	29088	1	23700581827	35985863504	8	0	2900	0	47533	0	73038617817	39366721985	8	0.5022469088666921	1.0
	30191	29502		-	-	CCNA_00027	2OG-Fe(II) oxygenase	1750	0	0	4005	0	0	0	118495141	133807717	1	17503	0	32778	0	5	29933802393	23374604715	23	4.111781826054165E-8	8.569708550730237E-7
30354			30271	-	-	CCNA_R0097	small non-coding RNA	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	32658	30337		-	-	CCNA_00028	TonB-dependent receptor	20496	50	8504	46915	173	49473	2	46131468719	66673464427	13	21750	13149	40731	215522	3	1662684185616	1215271325109	55	0.5184574133067733	1.0
	32914	33546		+	-	CCNA_00029	lysine exporter protein	28025	13300	2236	64149	46201	13008	12	39245226641	120350713271	64	7848	3829	14697	62760	3	75008435253	98747542864	61	0.5093045430575048	1.0
	33595	34329		+	-	CCNA_00030	ribonuclease T2	8486	0	0	19424	0	0	2	5241641372	4200052340	8	4399	0	8238	0	1	1088269093	1281374106	5	0.5819709181553933	1.0
	34698	34312		-	vapC	CCNA_00031	toxin protein VapC	36603	59909	19579	83784	208111	113904	54	353763351262	1851908758629	349	29755	6183	55723	101344	18	66184992966	397777425788	202	0.590250623945681	1.0
	34941	34699		-	vapB	CCNA_00032	antitoxin protein VapB	21715	9067	29100	49705	31496	169294	44	499065128940	594504325077	343	24661	52	46183	852	20	65179755150	38739878970	96	0.8774070640128088	1.0
	35667	35047		-	-	CCNA_03912	hypothetical protein	1250	0	2500	2861	0	14544	1	2129411574	3594205439	9	12807	0	23984	0	4	14144118375	13810404148	19	0.6452993643560094	1.0
	37962	35824		-	-	CCNA_00033	polyribonucleotide nucleotidyltransferase/polynucleotide adenylyltransferase	121092	14174	16313	277180	49237	94903	12	1567639925766	2050445088560	65	96934	7316	181531	119914	9	136158677485	1655741917498	70	0.4773147589655567	1.0
	38480	38211		-	-	CCNA_00034	SSU ribosomal protein S15P	230859	5475	3207	528438	19019	18657	160	13329237244779	4615624770873	698	50173	2047	93960	33551	39	129839835645	242932187043	236	0.6699981062453031	1.0
	39427	38495		-	-	CCNA_00035	tRNA pseudouridine synthase B	1536447	56944	19072	3516943	197811	110954	313	1235160740328548	498421388223177	1366	662383	4800	1240464	78675	145	156700156303300	50220214286647	706	0.62895646580446	1.0
	39879	39430		-	-	CCNA_00036	ribosome-binding factor A	18221	0	0	41708	0	0	7	32808091735	14776969915	30	0	50	0	819	0	4272146	8614684	0	1.9866837544286325E-107	1.0539744333559694E-105
	40768	39980		-	-	CCNA_00037	esterase lipase family protein	14618	0	1655	33460	0	9628	3	14682197813	15510044731	18	13750	0	25750	0	3	16773719078	15690919597	16	0.4718751434158065	1.0
	41403	40828		-	-	CCNA_00038	hypothetical protein	74774	43101	16658	171158	149723	96910	42	99382279147	2003178728078	241	49999	100	93634	1639	17	356285495343	142886246936	82	0.6552028098061263	1.0
	41921	41403		-	-	CCNA_00039	conserved hypothetical protein	221887	45944	17705	507901	159599	103001	99	6581488968043	9538474541376	494	54221	100	101541	1639	21	434252216398	164618231731	99	0.05230964668871769	0.4595374338137887
	42511	41960		-	-	CCNA_00040	YcxB-like membrane protein	7508	5950	1600	17185	20669	9308	4	1086112803	17864909432	28	7007	0	13122	0	2	3326320446	3784183023	11	0.6614342522714388	1.0
	45614	42585		-	-	CCNA_00041	protein translation initiation factor 2 IF-2	634316	136287	14804	1451955	473432	86124	47	108156837573180	98164886789607	221	1146628	20646	2147323	338403	78	453492877392424	233755620386317	410	0.6401835856061133	1.0
46002			45805	-	-	CCNA_R0098	small non-coding RNA	144162	5338	2150	329988	18543	12507	138	4185674094578	1352169249650	607	7099	4900	13294	80314	12	166592183935	138638683725	236	0.6443887347942968	1.0
	46543	45893		-	-	CCNA_00042	RNA-binding protein, YlxR family	144634	14076	6063	331068	48897	35272	45	3423087107468	1970028277383	212	6824	5770	12779	94574	3	268725092755	176239284869	82	0.6410618940206383	1.0
	48268	46622		-	nusA	CCNA_00043	N utilization substance protein A NusA	31479	14933	4115	72055	51874	23939	5	33076145317	197726179413	29	49398	3500	92509	57367	6	35379162155	352937733454	45	0.5871196277166731	1.0
	48846	48271		-	-	CCNA_00044	ribosome maturation protein RimP	87322	0	8754	199880	0	50927	30	1095382803409	595975430000	145	37914	150	71002	2458	13	175829067463	88541073368	63	0.6336820921114726	1.0
	49105	49638		+	-	CCNA_00045	inorganic pyrophosphatase	24619	0	24	56353	0	139	8	67355258879	24143394451	35	56482	0	105775	0	21	498061860858	171821060861	99	0.6632012020238178	1.0
	50031	49645		-	-	CCNA_00046	conserved hypothetical protein	6400	0	4252	14649	0	24736	4	6720386513	13608708629	33	0	0	0	0	0	0	244	0	1.0	1.0
	50812	50132		-	-	CCNA_00047	tRNA m7-G46 methyltransferase	2820	0	0	6455	0	0	0	372567966	463427092	3	50	0	93	0	0	23077	-5668	0	1.0	1.0
	52125	50902		-	metK	CCNA_00048	S-adenosylmethionine synthetase	10118	5700	2203	23160	19800	12816	2	858377942	23614183958	15	34950	1499	65451	24569	6	50867585828	129732335991	36	0.6482685363976234	1.0
	52679	52245		-	hipB	CCNA_00049	HTH transcriptional regulator	3249	0	2600	7436	0	15125	2	2036317678	5202454943	17	100	0	187	0	0	123366	250640	0	0.0	0.0
	54299	52707		-	-	CCNA_00050	apolipoprotein N-acyltransferase	3850	0	11350	8812	0	66030	1	85267971272	41059732407	15	7849	4649	14699	76200	1	135544291287	131891532140	28	0.6071999399248762	1.0
	55222	54296		-	corC	CCNA_00051	magnesium and cobalt efflux protein CorC	9181	0	0	21015	0	0	1	6331768686	4690703217	7	13299	0	24905	0	2	15482878887	14785335658	13	0.6144423835487521	1.0
	55686	55231		-	-	CCNA_00052	metal-dependent hydrolase/metalloproteinase	13027	0	2500	29818	0	14544	6	10384379327	16215650661	32	52	98	97	1606	0	18519037	55607458	1	1.8530825888360236E-16	5.566060570143497E-15
	56668	55724		-	phoH	CCNA_00053	phosphate starvation-inducible protein PhoH	3159	0	0	7230	0	0	0	489087324	585437606	2	0	0	0	0	0	0	244	0	1.0	1.0
	58011	56665		-	-	CCNA_00054	tRNA 2-methylthioadenosine synthase	32998	6898	4900	75532	23962	28506	6	49380456087	133612240003	31	46701	0	87458	0	7	315560695878	123461265411	32	0.49167671879673547	1.0
	58608	58201		-	-	CCNA_00055	ferric uptake regulation protein	52217	5200	5620	119525	18063	32695	28	236556975798	270342318243	139	81519	1837	152663	30109	41	709169391426	588307008293	223	0.5963796714199964	1.0
	59106	58654		-	-	CCNA_00056	ribosomal-protein-S18-alanine acetyltransferase	4349	5850	0	9954	20321	0	4	4136832590	8773289999	22	2624	0	4914	0	1	314925893	481003637	5	0.8605452096562092	1.0
	59750	59115		-	-	CCNA_00057	glycoprotease family protein	16549	8902	3250	37880	30923	18907	8	3607956840	54631610580	45	16518	3700	30933	60645	6	23648333019	133575788833	71	0.5811640855393783	1.0
	60386	59754		-	-	CCNA_00058	conserved hypothetical protein	43923	6550	4408	100540	22753	25644	15	140165257867	201126871869	78	24967	50	46756	819	8	67290586869	39421067960	37	0.6272352891996386	1.0
	61121	60534		-	-	CCNA_00059	oxygen-insensitive NADH nitroreductase	47673	7149	2300	109123	24834	13380	17	210917297185	196007211939	83	10350	0	19382	0	3	8482436542	9026356190	16	0.4147444374172625	1.0
	61763	61191		-	-	CCNA_00060	mitochondrial-type Fe-S cluster assembly protein NFU	76368	38501	28498	174807	133744	165792	45	25222384366	2919885514952	275	30698	8650	57489	141780	13	288827738744	728089300916	173	0.5810833822065358	1.0
	61885	63153		+	-	CCNA_00061	cytochrome p450	131272	5147	5300	300482	17879	30833	20	3068820947387	1232791597759	91	139430	2051	261114	33617	22	3129720991734	1586500212567	116	0.5528048483149395	1.0
	64361	63327		-	trpS	CCNA_00062	tryptophanyl-tRNA synthetase	7051	0	2350	16139	0	13671	1	2844847969	8533535085	9	15701	0	29403	0	3	23062370836	19661253707	14	0.5776864372508054	1.0
	64487	64440		-	-	CCNA_03913	hypothetical protein	5133	0	0	11749	0	0	19	1568399371	1657706100	81	972	0	1820	0	4	29035902	65027112	18	0.5759364431129047	1.0
	66091	64529		-	mviN	CCNA_00063	MviN-family integral membrane protein	13025	0	2350	29814	0	13671	1	10407094600	15728302460	9	800	0	1498	0	0	18196688	36072511	0	1.5656763113500297E-24	1.0
	68127	66331		-	-	CCNA_00064	methyl-accepting chemotaxis protein	38475	0	5350	88069	0	31124	4	144486187443	109659028423	22	11399	0	21347	0	1	10694794562	11043108267	5	0.7154489391781516	1.0
	68196	68179		-	-	CCNA_03914	hypothetical protein	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	69062	68289		-	-	CCNA_00065	S-adenosylmethionine-dependent methyltransferase	1951	0	0	4465	0	0	0	153824665	186027660	1	5700	7000	10674	114735	3	478911420117	235206073959	81	3.9756576121811803E-109	2.1369159665473846E-107
	69488	69120		-	-	CCNA_00066	Rieske (2Fe-2S) domain protein	3350	0	1899	7668	0	11047	2	1015929881	3986022167	16	0	0	0	0	0	0	244	0	1.0	1.0
	69774	69493		-	-	CCNA_00067	YciI-like protein	857	0	0	1961	0	0	0	21350152	24946194	2	1	40	1	655	0	2489720	3216236	1	0.7179916855980523	1.0
	70804	69794		-	gpsA	CCNA_00068	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	27100	14118	13540	62032	49042	78771	9	10373277983	335690273796	62	100255	36825	187750	603589	27	13310198363638	15317843936034	391	0.027185161037336744	0.26452060519121473
	71904	70801		-	-	CCNA_00069	O-sialoglycoprotein endopeptidase	14074	2220	15425	32215	7711	89737	5	125436970029	138743961202	39	13639	7504	25542	122996	3	409150618344	345010280977	67	0.6042452110396798	1.0
	71977	72945		+	-	CCNA_00070	porphobilinogen deaminase	5100	0	4550	11673	0	26470	1	7844252262	12996306893	13	0	0	0	0	0	0	244	0	1.0	1.0
	72950	73636		+	-	CCNA_00071	uroporphyrinogen-III synthase	7624	0	0	17451	0	0	2	4053435425	3608461588	8	0	0	0	0	0	0	244	0	1.0	1.0
	73680	74576		+	-	CCNA_00072	conserved hypothetical protein	1450	0	0	3319	0	0	0	75486945	81958728	1	0	0	0	0	0	0	244	0	1.0	1.0
	74573	76108		+	-	CCNA_00073	HemY domain membrane protein	11098	5700	3198	25403	19800	18604	2	349706381	30098662008	13	13041	2700	24422	44255	2	8963883324	77305362369	22	0.5879457199231548	1.0
76150			76225	+	-	CCNA_R0001	tRNA-Thr	38976	0	2503	89216	0	14561	99	170603479826	78332477563	455	4789	0	8968	0	12	1334238426	1538378136	59	0.0022552779860211844	0.028434600533631293
	78678	76477		-	-	CCNA_00074	multifunctional fatty acid oxidation complex subunit alpha FadJ	115450	18993	0	264266	65977	0	11	2149068779279	1056484312955	49	70276	6399	131607	104884	7	18335320844	1033503408811	53	0.48136274984105426	1.0
	79908	78703		-	-	CCNA_00075	3-ketoacyl-CoA thiolase	42701	6499	455	97743	22576	2647	7	190837001458	119290491000	33	71520	1200	133937	19668	12	599504199250	375745961996	63	0.615656368134547	1.0
	80358	79975		-	-	CCNA_00076	hypothetical protein	17125	0	0	39199	0	0	8	28269261618	13516618154	34	6850	0	12828	0	3	3150253394	3479422383	16	0.6344646524037371	1.0
	81530	80355		-	-	CCNA_00077	acyl-CoA dehydrogenase, long-chain specific	76346	6400	0	174756	22232	0	12	887062505822	361334555412	55	30099	2145	56367	35158	5	10529614400	133441119807	38	0.5614683747659323	1.0
	83326	81533		-	-	CCNA_00078	acyl-CoA dehydrogenase	301092	17676	4143	689202	61402	24102	32	23661268262505	9678733075256	143	94667	0	177285	0	10	1720191452308	543451541681	49	0.6605631368979845	1.0
	83893	83414		-	-	CCNA_00079	MerR-family transcriptional regulator	693606	6750	7692	1587671	23448	44749	267	193519007745428	66447759241144	1149	254775	2494	477124	40878	108	14932052359339	5914201323286	539	0.6353817428101521	1.0
	84087	84728		+	-	CCNA_00080	LexA-related transcriptional repressor	108277	0	5935	247847	0	34527	32	2027370304075	753113583759	146	36554	7216	68455	118275	13	81758504875	620632271692	145	0.49702206710120567	1.0
	84972	84763		-	-	CCNA_00081	hypothetical protein	7364268	217276	66418	16856886	754771	386398	6608	54453820014811904	20537790438766272	28568	6100748	45279	11425049	742157	5938	32182310159945296	9541424246680534	28969	0.4923238131067635	1.0
	86880	85222		-	lysS	CCNA_00082	class 1 lysyl-tRNA synthetase	43696	0	50	100020	0	290	4	266780505676	72581290427	20	5850	0	10955	0	0	2156918453	2375491650	3	0.02653648994709928	0.2599557828151093
	88683	87043		-	-	CCNA_00083	phosphoglucomutase/phosphomannomutase	54562	1850	6670	124892	6426	38803	6	308101216446	269819642546	34	35598	14549	66665	238469	6	1595305474808	1695510854157	92	0.6742307941236731	1.0
	89053	90642		+	purH	CCNA_00084	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	30408	0	100	69604	0	581	3	111031126573	36228624818	14	32000	0	59927	0	4	127367344519	59668425121	18	0.5464147780953629	1.0
	90655	91413		+	-	CCNA_00085	dienelactone hydrolase-related protein	1700	0	2851	3891	0	16586	1	2829374332	4522601855	8	0	0	0	0	0	0	244	0	1.0	1.0
	96290	91467		-	gdhZ	CCNA_00086	NAD-specific glutamate dehydrogenase GdhZ	410353	114349	59633	939302	397224	346925	21	17359468253925	68749930917803	116	414731	33049	776678	541698	18	3382502793365	50161673891228	136	0.4558939186414624	1.0
96584			96456	-	-	CCNA_R0002	small non-coding RNA	448923	257829	106806	1027589	895643	621362	1144	5747451108723	173735084736821	6575	162008	26398	303397	432683	296	806283184995	13502324948195	2853	0.6539434474311953	1.0
	97737	96628		-	-	CCNA_00087	conserved membrane spanning protein	19284	0	2000	44141	0	11635	3	29013978807	23614183958	16	9650	2299	18071	37682	2	8724958738	52267454035	25	0.5756674551354797	1.0
	97841	99385		+	-	CCNA_00088	HerA helicase-related ATPase	14706	5750	5349	33662	19974	31118	3	1858519490	51279994602	18	16501	7343	30901	120357	3	333139972073	361210284536	48	0.6539820010931381	1.0
	101895	99466		-	-	CCNA_00089	MHYT/PAS-family GGDEF/EAL protein	21549	0	4350	49325	0	25306	1	34754199549	40845542520	10	25493	0	47741	0	2	73808033332	39631504013	9	0.509263009806283	1.0
	102943	101960		-	-	CCNA_00090	UDP-glucose 4-epimerase	8098	0	2349	18536	0	13665	1	3618010989	9803477997	10	11050	0	20693	0	2	9925223725	10375334266	10	0.48932594268770874	1.0
	104042	103149		-	-	CCNA_00091	transporter, drug/metabolite exporter family	8286	0	809	18966	0	4706	1	3863549908	5669983288	8	3753	0	7028	0	0	743293289	912222440	3	0.6396252875948637	1.0
	104929	104039		-	-	CCNA_00092	short chain dehydrogenase	31515	11650	30142	72138	40469	175356	14	432689007865	783242052722	107	3753	0	7028	0	0	743293289	912222440	3	9.244444654101238E-47	3.975111201263532E-45
	105237	105028		-	-	CCNA_00093	hypothetical protein	4710	0	0	10781	0	0	4	1275957514	1412825822	17	0	0	0	0	0	0	244	0	1.0	1.0
	106230	105310		-	hfsJ	CCNA_00094	WecG/TagA-family glycosyltransferase HfsJ	1650	0	0	3776	0	0	0	102880089	114522108	1	0	0	0	0	0	0	244	0	1.0	1.0
	107332	106334		-	-	CCNA_00095	quinone oxidoreductase	7158	0	8550	16384	0	49741	2	37109681822	32266116464	22	6620	0	12397	0	1	2902176702	3150478973	6	0.7023647612222923	1.0
	107402	108280		+	-	CCNA_00096	L-asparaginase	12251	0	5299	28042	0	30827	3	14328408386	25925352209	22	23400	0	43821	0	5	60089900797	35061672311	24	0.5191145823808545	1.0
	108334	108792		+	-	CCNA_00097	conserved hypothetical protein	4549	0	0	10412	0	0	1	1173644280	1317984962	7	1351	0	2530	0	0	64010800	140976819	2	0.6752171011279571	1.0
	109233	108943		-	-	CCNA_00098	hypothetical protein	920	0	2839	2105	0	16516	2	3083090625	3958046776	21	0	0	0	0	0	0	244	0	1.0	1.0
	110969	109239		-	fzlC	CCNA_00099	FtsZ-binding protein FzlC	16796	1196	9376	38446	4154	54546	2	38490907210	67570878973	18	18551	0	34741	0	2	34417994602	25438916063	10	0.623614607832885	1.0
	111638	110979		-	-	CCNA_00100	Ribulose-5-phosphate 3-epimerase	20234	4356	0	46315	15131	0	6	31312846499	27981844364	31	1599	0	2994	0	0	95888895	191738896	2	5.222795507361241E-9	1.1595173721505798E-7
	113034	111745		-	rsmB	CCNA_00101	16S rRNA m5C methyltransferase RsmB	22549	0	3398	51614	0	19768	3	39591037220	37460493254	18	6642	0	12438	0	1	2925265782	3174033312	4	0.8352575278914139	1.0
	113151	113375		+	-	CCNA_00102	conserved hypothetical protein	39834	18296	10308	91180	63556	59968	55	14384946461	433417539750	318	0	0	0	0	0	0	244	0	1.0	1.0
	113463	115160		+	-	CCNA_00103	gamma-glutamyltranspeptidase	17047	36699	21702	39020	127484	126255	8	196112507517	809251557406	57	0	0	0	0	0	0	244	0	1.0	1.0
	115990	115289		-	-	CCNA_00104	orotidine 5'-phosphate decarboxylase	27942	50	3075	63959	173	17889	8	69520307344	48411123832	38	13774	0	25794	0	3	16842589910	15738664122	18	0.6491136050836895	1.0
	116088	116786		+	-	CCNA_00105	MarC family integral membrane protein	1084	0	0	2481	0	0	0	37545572	40910566	1	0	0	0	0	0	0	244	0	1.0	1.0
	116834	118099		+	-	CCNA_00106	2-polyprenyl-6-methoxyphenol hydroxylase	7349	6850	4699	16821	23795	27337	2	887465179	34004316550	17	37903	1900	70982	31142	6	47811282846	161698630755	40	0.6380676038606095	1.0
	118457	118260		-	-	CCNA_00107	Trm112p-like protein	16869	11049	2058	38613	38381	11972	27	11072796958	56152100969	149	50799	4100	95132	67202	56	20386104724	432837413725	409	0.6543212139087097	1.0
	119144	118467		-	-	CCNA_00108	lon endopeptidase-related protein	36863	40445	13895	84379	140497	80836	24	72302956136	881425391199	150	3596	5398	6734	88477	2	268315263690	142725400706	70	0.6228946398748864	1.0
	120059	119160		-	-	CCNA_00109	thioredoxin	91745	35966	25919	210005	124938	150788	30	136464371863	3120089904919	179	64586	2902	120952	47565	15	207133301764	476140150650	93	0.6087409824092409	1.0
	120675	120169		-	-	CCNA_00110	DNA-binding protein	2000	5399	0	4578	18754	0	2	3772040438	5530242787	15	0	0	0	0	0	0	244	0	1.0	1.0
	120752	121498		+	-	CCNA_00111	conserved hypothetical protein	6835	0	8500	15645	0	49450	3	36850570702	31307801855	29	21350	750	39982	12293	6	19966477679	46442626860	34	0.5348718656361154	1.0
	121503	121892		+	-	CCNA_00112	glyoxalase family protein	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	244	0	1.0	1.0
	121972	122544		+	-	CCNA_00113	hypothetical protein	15600	0	0	35708	0	0	4	22599131945	11733202738	20	2740	3643	5131	59711	2	101775789596	69174865600	56	0.6752883656968194	1.0
	122547	122852		+	-	CCNA_00114	MarR/EmrR-family transcriptional regulator	2350	0	0	5379	0	0	1	240512803	299192966	5	0	0	0	0	0	0	244	0	1.0	1.0
	122939	126268		+	-	CCNA_00115	TolB protein	13018	7800	8946	29798	27095	52044	1	8461283976	87687354007	10	14219	0	26628	0	0	18179273399	16633965385	3	0.683675340809613	1.0
124282			124027	-	-	CCNA_R0099	small non-coding RNA	11900	0	0	27239	0	0	8	11800849697	7271775338	35	7550	0	14139	0	5	3978953598	4825173109	27	0.5532913469461426	1.0
	127753	126407		-	-	CCNA_00116	phosphoglucosamine mutase	16590	12117	9800	37974	42091	57013	5	3997792460	162517640719	33	900	1349	1685	22111	0	9620640609	13608122361	8	0.7157598448835404	1.0
	127915	129735		+	-	CCNA_00117	glucosamine-fructose-6-phosphate aminotransferase, isomerizing	21557	2950	3050	49344	10247	17743	2	22953355937	43620790471	14	19806	3749	37091	61448	2	14677805106	151646778669	27	0.6147435141933575	1.0
	129746	131989		+	-	CCNA_00118	porphyrin biosynthesis protein	71139	0	8950	162837	0	52068	6	642443932638	434280481487	31	62946	2350	117880	38518	5	249939130493	393536310917	34	0.47525247819095473	1.0
	131977	132438		+	-	CCNA_00119	conserved hypothetical protein	1248	0	1800	2856	0	10471	1	912435159	2152025323	9	5720	0	10712	0	2	2043870422	2264181793	11	0.5450093439776659	1.0
	132435	132953		+	-	CCNA_00120	putative acetyltransferase	480	0	0	1098	0	0	0	5307623	7721854	0	2002	0	3749	0	0	164498180	293775792	3	0.03573665069273774	1.0
	133408	132950		-	-	CCNA_00121	hypothetical protein	30001	3000	400	68672	10421	2327	13	87246661572	47797928622	59	24281	232	45471	3802	10	53249482678	41711996932	53	0.5198830440929537	1.0
